Time(s),Steer(deg),Speed(km/h),YawRate(deg/s),Sideslip(deg),LatG,PosX(m),PosY(m)
1.91000,6.00000,60.00000,42.63731,-1.83480,1.26428,29.53001,8.28539
1.92000,6.00000,60.00000,42.63731,-1.83480,1.26428,29.63544,8.41447
1.93000,6.00000,60.00000,42.63730,-1.83480,1.26428,29.73991,8.54434
1.94000,6.00000,60.00000,42.63730,-1.83480,1.26428,29.84340,8.67498
1.95000,6.00000,60.00000,42.63729,-1.83481,1.26428,29.94592,8.80638
1.96000,6.00000,60.00000,42.63729,-1.83481,1.26428,30.04747,8.93854
1.97000,6.00000,60.00000,42.63728,-1.83481,1.26428,30.14802,9.07146
1.98000,6.00000,60.00000,42.63728,-1.83481,1.26428,30.24758,9.20512
1.99000,6.00000,60.00000,42.63727,-1.83481,1.26429,30.34615,9.33952
2.00000,6.00000,60.00000,42.63726,-1.83482,1.26429,30.44371,9.47465
2.01000,6.00000,60.00000,42.63726,-1.83482,1.26429,30.54026,9.61049
2.02000,6.00000,60.00000,42.63725,-1.83482,1.26429,30.63580,9.74706
2.03000,6.00000,60.00000,42.63725,-1.83482,1.26429,30.73032,9.88433
2.04000,6.00000,60.00000,42.63724,-1.83482,1.26429,30.82382,10.02230
2.05000,6.00000,60.00000,42.63724,-1.83482,1.26429,30.91629,10.16096
2.06000,6.00000,60.00000,42.63723,-1.83482,1.26429,31.00772,10.30031
2.07000,6.00000,60.00000,42.63723,-1.83482,1.26429,31.09812,10.44034
2.08000,6.00000,60.00000,42.63722,-1.83482,1.26429,31.18747,10.58103
2.09000,6.00000,60.00000,42.63722,-1.83482,1.26429,31.27577,10.72238
2.10000,6.00000,60.00000,42.63722,-1.83482,1.26429,31.36301,10.86439
2.11000,6.00000,60.00000,42.63721,-1.83482,1.26429,31.44920,11.00704
2.12000,6.00000,60.00000,42.63721,-1.83482,1.26429,31.53432,11.15033
2.13000,6.00000,60.00000,42.63721,-1.83482,1.26429,31.61838,11.29425
2.14000,6.00000,60.00000,42.63720,-1.83482,1.26429,31.70136,11.43879
2.15000,6.00000,60.00000,42.63720,-1.83482,1.26429,31.78326,11.58394
2.16000,6.00000,60.00000,42.63720,-1.83482,1.26429,31.86408,11.72970
2.17000,6.00000,60.00000,42.63720,-1.83482,1.26429,31.94381,11.87606
2.18000,6.00000,60.00000,42.63720,-1.83482,1.26429,32.02246,12.02301
2.19000,6.00000,60.00000,42.63720,-1.83482,1.26429,32.10000,12.17053
2.20000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.17645,12.31864
2.21000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.25179,12.46730
2.22000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.32602,12.61652
2.23000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.39915,12.76629
2.24000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.47115,12.91660
2.25000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.54204,13.06744
2.26000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.61180,13.21881
2.27000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.68043,13.37069
2.28000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.74793,13.52307
2.29000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.81429,13.67596
2.30000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.87951,13.82933
2.31000,6.00000,60.00000,42.63719,-1.83482,1.26429,32.94359,13.98319
2.32000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.00653,14.13752
2.33000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.06831,14.29231
2.34000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.12894,14.44756
2.35000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.18842,14.60325
2.36000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.24673,14.75938
2.37000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.30388,14.91594
2.38000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.35986,15.07293
2.39000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.41468,15.23032
2.40000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.46832,15.38812
2.41000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.52078,15.54631
2.42000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.57207,15.70489
2.43000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.62217,15.86385
2.44000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.67109,16.02318
2.45000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.71883,16.18286
2.46000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.76537,16.34290
2.47000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.81072,16.50327
2.48000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.85488,16.66399
2.49000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.89784,16.82502
2.50000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.93960,16.98637
2.51000,6.00000,60.00000,42.63719,-1.83482,1.26429,33.98016,17.14803
2.52000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.01951,17.30998
2.53000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.05766,17.47222
2.54000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.09460,17.63474
2.55000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.13033,17.79754
2.56000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.16485,17.96059
2.57000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.19815,18.12390
2.58000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.23023,18.28744
2.59000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.26110,18.45123
2.60000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.29075,18.61524
2.61000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.31918,18.77946
2.62000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.34638,18.94389
2.63000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.37236,19.10852
2.64000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.39712,19.27334
2.65000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.42065,19.43834
2.66000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.44294,19.60350
2.67000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.46401,19.76883
2.68000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.48385,19.93432
2.69000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.50246,20.09994
2.70000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.51983,20.26570
2.71000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.53597,20.43158
2.72000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.55087,20.59758
2.73000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.56454,20.76369
2.74000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.57697,20.92989
2.75000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.58817,21.09618
2.76000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.59813,21.26255
2.77000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.60685,21.42899
2.78000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.61433,21.59549
2.79000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.62057,21.76204
2.80000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.62557,21.92863
2.81000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.62933,22.09525
2.82000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.63185,22.26190
2.83000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.63313,22.42856
2.84000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.63317,22.59523
2.85000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.63197,22.76189
2.86000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.62953,22.92854
2.87000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.62586,23.09516
2.88000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.62094,23.26176
2.89000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.61478,23.42831
2.90000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.60738,23.59481
2.91000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.59874,23.76126
2.92000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.58887,23.92763
2.93000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.57775,24.09393
2.94000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.56540,24.26013
2.95000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.55182,24.42625
2.96000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.53699,24.59225
2.97000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.52094,24.75814
2.98000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.50364,24.92391
2.99000,6.00000,60.00000,42.63719,-1.83482,1.26429,34.48512,25.08955
